TC	Approach	# Correct	# Incorrect
Ser1	OPAL (RTA)	20	800
Ser1	Seneca (0-1-CFA)	19	338
Ser1	Seneca (1-CFA)	19	342
Ser1	Salsa (0-1-CFA)	19	338
Ser1	Salsa (1-CFA)	19	342
Ser2	OPAL (RTA)	20	801
Ser2	Seneca (0-1-CFA)	19	339
Ser2	Seneca (1-CFA)	19	343
Ser2	Salsa (0-1-CFA)	19	339
Ser2	Salsa (1-CFA)	19	343
Ser3	Seneca (0-1-CFA)	20	338
Ser3	Seneca (1-CFA)	20	342
Ser3	Salsa (0-1-CFA)	20	338
Ser3	Salsa (1-CFA)	20	342
Ser4	Seneca (0-1-CFA)	8	109
Ser4	Seneca (1-CFA)	8	109
Ser4	Salsa (0-1-CFA)	8	109
Ser4	Salsa (1-CFA)	8	109
Ser5	OPAL (RTA)	23	967
Ser5	Seneca (0-1-CFA)	8	109
Ser5	Seneca (1-CFA)	8	109
Ser5	Salsa (0-1-CFA)	8	109
Ser5	Salsa (1-CFA)	8	109
Ser6	Seneca (0-1-CFA)	10	97
Ser6	Seneca (1-CFA)	10	95
Ser6	Salsa (0-1-CFA)	10	97
Ser6	Salsa (1-CFA)	10	95
Ser7	OPAL (RTA)	23	958
Ser7	Seneca (0-1-CFA)	9	109
Ser7	Seneca (1-CFA)	9	109
Ser7	Salsa (0-1-CFA)	9	109
Ser7	Salsa (1-CFA)	9	109
Ser8	Soot (CHA)	27	1635
Ser8	Soot (RTA)	27	1634
Ser8	Seneca (0-1-CFA)	9	116
Ser8	Seneca (1-CFA)	9	116
Ser8	Salsa (0-1-CFA)	9	116
Ser8	Salsa (1-CFA)	9	116
Ser9	Soot (CHA)	22	1640
Ser9	Soot (RTA)	22	1639
Ser9	OPAL (RTA)	24	969
Ser9	Seneca (0-1-CFA)	8	111
Ser9	Seneca (1-CFA)	8	111
Ser9	Salsa (0-1-CFA)	8	111
Ser9	Salsa (1-CFA)	8	111
